policy,layer_records,dual_row_buffer,total_gpu_blocked_by_pim_cycles,total_gpu_column_issues,total_gpu_contended_us,total_gpu_contention_delta_us,total_gpu_isolated_us,total_pim_blocked_by_gpu_cycles,total_pim_column_issues,total_pim_contended_us,total_pim_contention_delta_us,total_pim_isolated_us,total_pim_queue_wait_cycles,total_pim_row_activations,total_pim_row_conflicts,total_total_memory_phase_us,mean_gpu_blocked_by_pim_cycles,mean_gpu_column_issues,mean_gpu_contended_us,mean_gpu_contention_delta_us,mean_gpu_isolated_us,mean_pim_blocked_by_gpu_cycles,mean_pim_column_issues,mean_pim_contended_us,mean_pim_contention_delta_us,mean_pim_isolated_us,mean_pim_queue_wait_cycles,mean_pim_row_activations,mean_pim_row_conflicts,mean_total_memory_phase_us
gpu-only,384,True,0,1026883584,10170.241536,0.0,10170.241536,0,0,0.0,0.0,0.0,0,0,0,10170.241536,0.0,2674176.0,26.485004,0.0,26.485004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.485004
noexp,384,True,0,1026883584,10170.241536,0.0,10170.241536,0,0,0.0,0.0,0.0,0,0,0,10170.241536,0.0,2674176.0,26.485004,0.0,26.485004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.485004
allexp,384,True,0,0,0.0,0.0,0.0,0,2220883968,75675.764736,0.0,75675.764736,6693104320512,69402624,69304320,75675.764736,0.0,0.0,0.0,0.0,0.0,0.0,5783552.0,197.072304,0.0,197.072304,17429959168.0,180736.0,180480.0,197.072304
pimoe,384,True,17949440,961118208,9498.837816,-6.149832,9504.987648,138112,17949440,618.099456,0.2808,617.818656,13501629440,611072,570368,9498.837816,46743.333333333,2502912.0,24.736556812,-0.016015187,24.752572,359.666666667,46743.333333333,1.609634,0.00073125,1.60890275,35160493.333333336,1591.333333333,1485.333333333,24.736556812
sieve,384,True,0,1026883584,10170.241536,0.0,10170.241536,0,0,0.0,0.0,0.0,0,0,0,10170.241536,0.0,2674176.0,26.485004,0.0,26.485004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.485004
sieve-cycle-v1,384,True,245044224,811597824,7991.72556,-8.613384,8000.338944,512384,259905280,8867.457456,1.1232,8866.334256,330689549568,8204032,8105728,9438.1092,638136.0,2113536.0,20.811785312,-0.022430688,20.834216,1334.333333333,676836.666666667,23.092337125,0.002925,23.089412125,861170702.0,21364.666666667,21108.666666667,24.578409375
sieve-fixed-16-cycle-v1,384,True,0,1026883584,10170.241536,0.0,10170.241536,0,0,0.0,0.0,0.0,0,0,0,10170.241536,0.0,2674176.0,26.485004,0.0,26.485004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.485004
