policy,total_latency_us,mean_step_latency_us,p95_step_latency_us,throughput_request_tokens_per_s,mean_gpu_experts_per_layer,mean_pim_experts_per_layer,gpu_expert_tokens,pim_expert_tokens,memory_feasible
gpu-only,24135.273566207,3016.909195776,3044.437886976,5303.441025803,9.067708333,0.0,49152,0,True
noexp,64448.939870211,8056.117483776,8082.335909376,1986.068355163,9.067708333,0.0,49152,0,True
allexp,128596.304640001,16074.53808,16078.9596864,995.362972197,0.0,9.067708333,0,49152,True
pimoe,63775.871011523,7971.98387644,7995.000553931,2007.028645314,8.486979167,0.580729167,48755,397,True
sieve,72128.939870211,9016.117483776,9042.335909376,1774.599768558,9.067708333,0.0,49152,0,True
sieve-cycle-v1,70249.791794179,8781.223974272,8789.053749018,1822.06945716,7.166666667,1.901041667,43400,5752,True
sieve-fixed-16-cycle-v1,72128.939870211,9016.117483776,9042.335909376,1774.599768558,9.067708333,0.0,49152,0,True
